기간	구분	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	구분	계	65~79세	80세 이상	계	65~79세	80세 이상	계	65~79세	80세 이상	계	65~79세	80세 이상
2020	합계	366,134	275,574	90,560	92,446	64,798	27,648	19,535	11,629	7,906	254,153	199,147	55,006
2020	종로구	9,648	6,814	2,834	1,663	1,260	403	377	220	157	7,608	5,334	2,274
2020	중구	7,117	5,272	1,845	1,872	1,371	501	308	170	138	4,937	3,731	1,206
2020	용산구	10,354	7,347	3,007	2,421	1,723	698	247	135	112	7,686	5,489	2,197
2020	성동구	14,036	10,187	3,849	2,605	1,788	817	769	450	319	10,662	7,949	2,713
2020	광진구	11,403	8,628	2,775	2,697	1,963	734	486	253	233	8,220	6,412	1,808
2020	동대문구	16,102	12,297	3,805	4,679	3,432	1,247	583	338	245	10,840	8,527	2,313
2020	중랑구	17,946	14,116	3,830	6,275	4,298	1,977	645	384	261	11,026	9,434	1,592
2020	성북구	17,225	12,615	4,610	4,141	2,815	1,326	824	458	366	12,260	9,342	2,918
2020	강북구	17,086	13,225	3,861	5,165	3,739	1,426	1,248	823	425	10,673	8,663	2,010
2020	도봉구	13,980	10,287	3,693	3,296	2,662	634	875	489	386	9,809	7,136	2,673
2020	노원구	21,899	16,260	5,639	7,505	5,239	2,266	2,241	1,380	861	12,153	9,641	2,512
2020	은평구	19,437	14,671	4,766	1,718	679	1,039	1,374	777	597	16,345	13,215	3,130
2020	서대문구	12,349	8,893	3,456	2,923	1,984	939	543	275	268	8,883	6,634	2,249
2020	마포구	12,545	8,804	3,741	2,622	1,839	783	631	382	249	9,292	6,583	2,709
2020	양천구	14,098	10,805	3,293	3,937	2,711	1,226	859	452	407	9,302	7,642	1,660
2020	강서구	20,897	15,790	5,107	7,418	4,994	2,424	990	607	383	12,489	10,189	2,300
2020	구로구	14,924	11,467	3,457	3,190	2,168	1,022	959	533	426	10,775	8,766	2,009
2020	금천구	10,220	7,791	2,429	3,120	2,153	967	674	436	238	6,426	5,202	1,224
2020	영등포구	13,868	10,342	3,526	3,455	2,548	907	554	312	242	9,859	7,482	2,377
2020	동작구	14,595	10,826	3,769	3,272	2,208	1,064	925	473	452	10,398	8,145	2,253
2020	관악구	21,349	16,239	5,110	5,597	3,842	1,755	1,184	798	386	14,568	11,599	2,969
2020	서초구	9,553	7,367	2,186	1,698	1,198	500	344	208	136	7,511	5,961	1,550
2020	강남구	13,592	10,515	3,077	3,994	3,173	821	747	598	149	8,851	6,744	2,107
2020	송파구	17,340	13,576	3,764	3,497	2,436	1,061	437	254	183	13,406	10,886	2,520
2020	강동구	14,571	11,440	3,131	3,686	2,575	1,111	711	424	287	10,174	8,441	1,733
